Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
78,78,78.125,78.0625
78,78,78.25,78.05
78,78,78.125,78.0833333333333
78.25,78.0626068115234,78.25,78.1071428571429
78.25,78.1001968383789,78.125,78.125
78,78.0834197998047,78,78.1428571428571
78,78.0714263916016,78,78.1428571428571
78.25,78.0939407348633,78,78.1785714285714
78.25,78.1114730834961,78,78.1785714285714
78.25,78.1255187988281,78,78.1428571428571
78.25,78.1370315551758,78,78.1071428571429
78,78.125373840332,78,78.1071428571429
78.25,78.1352005004883,78,78.1071428571429
78,78.1252593994141,78,78.0714285714286
78,78.1166305541992,78,78.0357142857143
78,78.1090621948242,78,78
78,78.1023712158203,78,78
78,78.0964050292969,78,78
78,78.0910568237305,78,78
78,78.0862274169922,78,78
78,78.0818481445312,78,78
78,78.0778503417969,78,78
78,78.0741882324219,78,78
78,78.0708236694336,78,78
78,78.0677185058594,78,78
78,78.0648422241211,78,78
78,78.0621719360352,78,78
78,78.059684753418,78,78.0357142857143
78,78.0573577880859,78,78.0714285714286
78.25,78.0646667480469,78,78.1071428571429
78,78.0622711181641,78,78.1071428571429
78.25,78.0690612792969,78,78.1071428571429
78.25,78.0754623413086,78,78.1071428571429
78.25,78.0815048217773,78,78.1071428571429
78.25,78.0872192382812,78,78.1071428571429
78,78.0843124389648,78,78.0714285714286
78,78.0815582275391,78,78.0714285714286
78,78.0789413452148,78,78.0357142857143
78,78.0764465332031,78,78
78,78.0740661621094,78,78
78,78.0718002319336,78,78
78,78.0696334838867,78,78
78,78.0675582885742,78,78
78,78.0655746459961,78,78
78,78.0636749267578,78,78
78,78.0618515014648,78,78
78,78.0600967407227,78,78
78,78.0584106445312,78,78
78,78.0567932128906,78,78
78,78.0552368164062,78,78
