Raw Data,Kalman Data,Moving Average Data,app.FilteredATM
72.5,72.5,72.5,72.5625
72.75,72.6250305175781,72.5,72.6
72.5,72.5833206176758,72.5,72.5833333333333
72.75,72.6250610351562,72.5,72.5714285714286
72.5,72.5999755859375,72.5,72.5416666666667
72.5,72.5832366943359,72.5,72.5714285714286
72.75,72.6072158813477,72.5,72.5714285714286
72.5,72.5936965942383,72.5,72.5357142857143
72.5,72.5831680297852,72.5,72.5714285714286
72.5,72.5747299194336,72.5,72.5357142857143
72.75,72.5909423828125,72.5,72.5357142857143
72.5,72.5832061767578,72.5,72.5357142857143
72.5,72.5766448974609,72.5,72.5
72.75,72.5893859863281,72.5,72.4642857142857
72.5,72.5832290649414,72.5,72.5
72.25,72.5615997314453,72.5,72.5357142857143
72.25,72.5424728393555,72.5,72.5357142857143
72.5,72.5400009155273,72.5,72.5357142857143
72.25,72.5239028930664,72.5,72.5714285714286
72.75,72.5358963012695,72.5,72.5
73,72.5594863891602,72.5,72.4642857142857
72.75,72.5687866210938,72.5,72.5357142857143
72.5,72.5655517578125,72.5,72.6071428571429
72.75,72.5739135742188,72.5,72.6071428571429
72.25,72.5597152709961,72.5,72.6785714285714
72.25,72.5465698242188,72.5,72.6428571428571
73,72.5652465820312,72.5,72.5714285714286
72.75,72.572639465332,72.5,72.5
72.5,72.5698089599609,72.5,72.4642857142857
72.75,72.5766448974609,72.625,72.3928571428571
72.5,72.5738067626953,72.625,72.3928571428571
72.25,72.5620956420898,72.625,72.4642857142857
72.25,72.5510559082031,72.625,72.4642857142857
72.25,72.5406341552734,72.625,72.4642857142857
72.25,72.5307693481445,72.5,72.5
72.25,72.5214233398438,72.5,72.5
72.75,72.5288925170898,72.5,72.5714285714286
72.75,72.5359954833984,72.5,72.6071428571429
73.25,72.5585479736328,72.5,72.6428571428571
72.75,72.5644989013672,72.625,72.6428571428571
73,72.5778350830078,72.5,72.6785714285714
73,72.590576171875,72.5,72.7142857142857
72.5,72.5878829956055,72.625,72.7142857142857
72.5,72.5853042602539,72.75,72.7142857142857
72.25,72.5755767822266,72.75,72.6428571428571
72.5,72.5734100341797,72.75,72.625
72.75,72.5784149169922,72.75,72.6071428571429
72.75,72.5832214355469,72.75,72.5833333333333
72.75,72.5878448486328,72.75,72.6
72.5,72.5854339599609,72.75,72.625
